method,group_id,leader,member,delta_error,leader_error,optimal_error
groups,0,58,12,0.007216389260801037,19.942179495465222,19.93496310620442
groups,0,58,80,0.008794963862690963,19.722954571245552,19.71415960738286
groups,0,58,22,0.001238223397830751,19.429826355076084,19.428588131678254
groups,0,58,36,0.009296646610305714,19.29369224258139,19.284395595971084
groups,0,58,70,0.0032122248649599783,19.583262381616724,19.580050156751764
groups,0,58,65,0.0007600837632750768,19.42523043628684,19.424470352523564
groups,0,58,0,0.002419935095076653,19.290736063732385,19.28831612863731
groups,0,58,75,0.001497220390124454,19.316124469860384,19.31462724947026
groups,0,58,78,0.0026703465149005012,19.58839303313923,19.58572268662433
groups,0,58,97,0.0028402194494887567,19.303140789000192,19.300300569550703
groups,0,58,60,0.0050512318275757195,19.69094578175629,19.685894549928715
groups,0,58,21,0.00043661420735929823,19.40222651157074,19.40178989736338
groups,0,58,51,0.0003452675462263244,19.50821787669138,19.507872609145153
groups,0,58,68,0.0016268584384313556,19.430620314298643,19.428993455860212
groups,0,58,58,0.0,19.50909640600089,19.50909640600089
groups,0,58,37,0.0004412982192221193,19.59262364623725,19.592182348018028
groups,0,58,41,0.005056395711619643,19.541056903748245,19.536000508036626
groups,0,58,35,0.0024430479146069217,19.7424566006676,19.740013552752995
groups,0,58,79,0.0023787486523865198,19.56479369465031,19.562414945997922
groups,0,58,23,0.004043407569881197,19.834635407152085,19.830591999582204
groups,0,58,94,0.0018866464019211548,19.74197569138188,19.74008904497996
groups,0,58,14,0.0008723848717018257,19.67160464318481,19.67073225831311
groups,0,58,84,0.00131094248842345,19.60036670993767,19.599055767449247
groups,0,58,87,0.0029925042920275757,19.80139135960046,19.79839885530843
groups,0,58,31,0.005198012304486355,19.79619764401129,19.790999631706804
groups,0,58,18,0.004825920302398146,19.861577958799487,19.85675203849709
groups,1,50,93,0.020089258040904667,18.64747558740678,18.627386329365876
groups,1,50,74,0.0030181111037173025,19.467264251186034,19.464246140082317
groups,1,50,90,0.004064503936106689,19.265626838989636,19.26156233505353
groups,1,50,19,0.0038111321787859254,19.530839025668502,19.527027893489716
groups,1,50,15,0.0036927887254201153,19.525415317924303,19.521722529198883
groups,1,50,83,0.010671100489268781,18.95369515665027,18.943024056161
groups,1,50,5,0.006419654269436137,19.216036035433078,19.20961638116364
groups,1,50,17,0.0022243572564342173,19.44375913097067,19.441534773714235
groups,1,50,77,0.007008992137979675,19.220380467978977,19.213371475840997
groups,1,50,99,0.0015782783850966098,19.333990462312993,19.332412183927897
groups,1,50,63,0.0022368327833568458,19.233627919545214,19.231391086761857
groups,1,50,45,0.01863474571510082,19.009637360371816,18.991002614656715
groups,1,50,20,0.0013716883229868415,19.386887237575472,19.385515549252485
groups,1,50,62,0.009338899217201657,19.217755026238187,19.208416127020985
groups,1,50,89,0.012733890265749892,19.146449510234298,19.133715619968548
groups,1,50,88,0.006358954828733943,19.53676951867193,19.530410563843198
groups,1,50,81,0.014103675084122358,19.156209754597217,19.142106079513095
groups,1,50,92,0.0035327911649005728,19.489095128986353,19.485562337821452
groups,1,50,38,0.021370167504457527,19.059537568383348,19.03816740087889
groups,1,50,64,0.0023407372434718354,19.089711697468715,19.087370960225243
groups,1,50,29,0.006990502232870455,18.92167291665393,18.91468241442106
groups,1,50,55,0.0005774460343097587,19.20104520686801,19.2004677608337
groups,1,50,25,0.0003481492337975567,19.25280202641842,19.25245387718462
groups,1,50,59,0.00038068735855389946,19.29120693330131,19.290826245942757
groups,1,50,33,0.010678316773478969,19.32980780271636,19.31912948594288
groups,1,50,66,0.022467558810593147,19.12236877105581,19.099901212245218
groups,1,50,46,0.001301756126125042,19.084339864492105,19.08303810836598
groups,1,50,42,0.02400048851847103,19.117066443678713,19.09306595516024
groups,1,50,49,0.011158382270032519,19.38899620759026,19.377837825320228
groups,1,50,27,0.0010024129668977366,19.336750222759274,19.335747809792377
groups,1,50,54,0.002416234793258809,19.014251156319233,19.011834921525974
groups,1,50,50,0.0,19.186685737456965,19.186685737456965
groups,1,50,24,0.000449052889706536,19.101689816921134,19.101240764031427
groups,1,50,56,0.012917407461948471,19.628191770145722,19.615274362683774
groups,1,50,3,0.030319921095131264,19.155950102385518,19.125630181290386
groups,1,50,7,0.017709830616936983,19.356189892284203,19.338480061667266
groups,1,50,26,0.0010817912873299917,19.26970836741176,19.26862657612443
groups,1,50,53,0.03221079504379887,19.199641737257473,19.167430942213674
groups,1,50,28,0.030099679791522505,19.226103015455884,19.19600333566436
groups,1,50,4,0.0009011323666818782,19.02424873893496,19.02334760656828
groups,1,50,61,0.0034528926452388475,19.269629028044477,19.26617613539924
groups,1,50,69,0.010127582827831105,19.348961903181706,19.338834320353875
groups,1,50,72,0.021086588436364906,19.650735799004583,19.629649210568218
groups,1,50,44,0.004704456428381576,18.812083109018133,18.80737865258975
groups,1,50,91,0.019276532371872435,19.283264629719735,19.263988097347863
groups,1,50,9,0.006357143186281888,18.751447192875208,18.745090049688926
groups,1,50,40,0.006414938238535228,19.1685727021141,19.162157763875566
groups,1,50,30,0.003931885875960717,18.872245039839036,18.868313153963076
groups,1,50,98,0.007577106207431683,19.137939080313277,19.130361974105845
groups,1,50,16,0.006241007898520223,19.09082592329749,19.08458491539897
groups,1,50,71,0.005362905266057538,19.05657110614056,19.051208200874502
groups,1,50,47,0.005573936972638194,18.804086520441604,18.798512583468966
groups,1,50,11,0.006718237914682845,18.75814342502868,18.751425187114
groups,1,50,43,0.005022587163761472,18.946878918469157,18.941856331305395
groups,1,50,48,0.010997114812383302,19.101326268207476,19.090329153395093
groups,1,50,86,0.00879583871081735,19.037800316780004,19.029004478069186
groups,1,50,85,0.006358734504193109,18.879032661349473,18.87267392684528
groups,1,50,1,0.01670612939248528,19.04611508122129,19.029408951828806
groups,1,50,96,0.014452304033163443,19.019187732646625,19.00473542861346
groups,1,50,57,0.008764845554750877,18.752604276542176,18.743839430987425
groups,1,50,13,0.009667744432341863,18.952181465059898,18.942513720627556
groups,1,50,76,0.010317452353714174,18.844641062130478,18.834323609776764
groups,1,50,6,0.013362863763131116,18.901843390013568,18.888480526250436
groups,1,50,39,0.011246966844165485,18.71144842029245,18.700201453448283
groups,1,50,2,0.011688895534227584,18.879297508480082,18.867608612945855
groups,1,50,32,0.017972985742460423,18.88634201091908,18.86836902517662
groups,1,50,8,0.013907265999410612,18.864427054270564,18.850519788271153
groups,1,50,67,0.013452230419474631,18.668196241046406,18.65474401062693
groups,1,50,73,0.020642695199473593,18.816986660571672,18.7963439653722
groups,1,50,52,0.013782985334177766,18.69076585508949,18.676982869755314
groups,1,50,10,0.016448474600597507,18.799774075784033,18.783325601183435
groups,1,50,95,0.01717940639966642,18.61766106570774,18.600481659308073
groups,1,50,82,0.019850384084588057,18.711196525955767,18.69134614187118
groups,1,50,34,0.017890717342535112,18.653132141647937,18.635241424305402
groupsm,0,35,12,0.005156137739124489,19.940119243943546,19.93496310620442
groupsm,0,35,23,0.00026530858141882163,19.830857308163623,19.830591999582204
groupsm,0,35,94,0.00020598267552784932,19.74029502765549,19.74008904497996
groupsm,0,35,80,0.003559811756009168,19.71771941913887,19.71415960738286
groupsm,0,35,14,0.0011156221401833477,19.671847880453292,19.67073225831311
groupsm,0,35,87,0.00021925929205224293,19.798618114600483,19.79839885530843
groupsm,0,35,35,0.0,19.740013552752995,19.740013552752995
groupsm,0,35,60,0.0014605470439335022,19.68735509697265,19.685894549928715
groupsm,0,35,72,0.003234397329787697,19.632883607898005,19.629649210568218
groupsm,0,35,37,0.0008336668788082591,19.593016014896836,19.592182348018028
groupsm,0,35,70,0.0016595287836516093,19.581709685535415,19.580050156751764
groupsm,0,35,78,0.001318238009435646,19.587040924633765,19.58572268662433
groupsm,0,35,31,0.006088094501674135,19.797087726208478,19.790999631706804
groupsm,0,35,51,0.0017847068347549566,19.509657315979908,19.507872609145153
groupsm,0,35,18,0.003609776410549159,19.860361814907638,19.85675203849709
groupsm,1,52,93,0.0008291114021119483,18.62821544076799,18.627386329365876
groupsm,1,52,57,0.0007760899079372052,18.744615520895362,18.743839430987425
groupsm,1,52,85,0.0016171499341979256,18.87429107677948,18.87267392684528
groupsm,1,52,76,0.000852772123586476,18.83517638190035,18.834323609776764
groupsm,1,52,6,0.002304791681844165,18.89078531793228,18.888480526250436
groupsm,1,52,39,0.0002092443670349553,18.700410697815318,18.700201453448283
groupsm,1,52,2,0.0015222068922859933,18.86913081983814,18.867608612945855
groupsm,1,52,32,0.0035067593279940468,18.871875784504613,18.86836902517662
groupsm,1,52,8,0.0017618996065884573,18.852281687877742,18.850519788271153
groupsm,1,52,67,7.739214102997494e-05,18.65482140276796,18.65474401062693
groupsm,1,52,73,0.0032200016151868738,18.799563966987385,18.7963439653722
groupsm,1,52,11,0.0027595634052524076,18.75418475051925,18.751425187114
groupsm,1,52,52,0.0,18.676982869755314,18.676982869755314
groupsm,1,52,47,0.002866872697978806,18.801379456166945,18.798512583468966
groupsm,1,52,10,0.0014321538414563406,18.78475775502489,18.783325601183435
groupsm,1,52,95,0.00022023550764060928,18.600701894815714,18.600481659308073
groupsm,1,52,82,0.0013353991010802702,18.69268154097226,18.69134614187118
groupsm,1,52,34,0.0003464337915417559,18.635587858096944,18.635241424305402
groupsm,2,90,74,0.0030217919694202067,19.467267932051737,19.464246140082317
groupsm,2,90,83,0.004349180740849334,18.94737323690185,18.943024056161
groupsm,2,90,45,0.007320375979986693,18.9983229906367,18.991002614656715
groupsm,2,90,89,0.0030680435676977424,19.136783663536246,19.133715619968548
groupsm,2,90,81,0.0036359362400517625,19.145742015753147,19.142106079513095
groupsm,2,90,38,0.008316881213751515,19.046484282092642,19.03816740087889
groupsm,2,90,29,0.003956669781246092,18.918639084202304,18.91468241442106
groupsm,2,90,64,0.001257407710731684,19.088628367935975,19.087370960225243
groupsm,2,90,66,0.008392328076926248,19.108293540322144,19.099901212245218
groupsm,2,90,46,0.0019601049351187783,19.0849982133011,19.08303810836598
groupsm,2,90,42,0.00934370428428366,19.102409659444525,19.09306595516024
groupsm,2,90,62,0.0012647885008902904,19.209680915521876,19.208416127020985
groupsm,2,90,49,0.0017843260363079594,19.379622151356536,19.377837825320228
groupsm,2,90,50,0.003961132455575722,19.19064686991254,19.186685737456965
groupsm,2,90,56,0.004458618364374445,19.61973298104815,19.615274362683774
groupsm,2,90,77,0.0005314714371955631,19.213902947278193,19.213371475840997
groupsm,2,90,33,0.0015244706666734942,19.320653956609554,19.31912948594288
groupsm,2,90,5,0.0004059109444618514,19.210022292108103,19.20961638116364
groupsm,2,90,54,0.0025691831877630023,19.014404104713737,19.011834921525974
groupsm,2,90,24,0.003014193078783478,19.10425495711021,19.101240764031427
groupsm,2,90,3,0.012970435002387148,19.138600616292774,19.125630181290386
groupsm,2,90,27,0.006360349960253586,19.34210815975263,19.335747809792377
groupsm,2,90,55,0.0015513724210443058,19.202019133254744,19.2004677608337
groupsm,2,90,63,0.0002679472243158898,19.231659033986173,19.231391086761857
groupsm,2,90,90,0.0,19.26156233505353,19.26156233505353
groupsm,2,90,7,0.0046809118904533875,19.34316097355772,19.338480061667266
groupsm,2,90,25,0.0022605502091153085,19.254714427393736,19.25245387718462
groupsm,2,90,92,0.009242288923402953,19.494804626744855,19.485562337821452
groupsm,2,90,59,0.003273128998568353,19.294099374941325,19.290826245942757
groupsm,2,90,88,0.002562027587444504,19.532972591430642,19.530410563843198
groupsm,2,90,99,0.0012330382861271971,19.333645222214024,19.332412183927897
groupsm,2,90,20,0.0034056318491195725,19.388921181101605,19.385515549252485
groupsm,2,90,19,0.006245875706714088,19.53327376919643,19.527027893489716
groupsm,2,90,15,0.006172744147193043,19.527895273346076,19.521722529198883
groupsm,2,90,17,0.0038969384152132136,19.445431712129448,19.441534773714235
groupsm,3,16,44,0.009104289813503641,18.816482942403255,18.80737865258975
groupsm,3,16,69,0.002473985391077349,19.341308305744953,19.338834320353875
groupsm,3,16,91,0.004753013256028282,19.26874111060389,19.263988097347863
groupsm,3,16,61,0.0015316110882324097,19.26770774648747,19.26617613539924
groupsm,3,16,40,0.00020481018541218532,19.162362574060978,19.162157763875566
groupsm,3,16,48,0.0007201798550653393,19.091049333250158,19.090329153395093
groupsm,3,16,98,0.00015796637201859198,19.130519940477864,19.130361974105845
groupsm,3,16,1,0.0026077491645111195,19.032016700993317,19.029408951828806
groupsm,3,16,86,0.0002703270664738966,19.02927480513566,19.029004478069186
groupsm,3,16,96,0.0017834573234800644,19.00651888593694,19.00473542861346
groupsm,3,16,26,0.003519962714207736,19.272146538838637,19.26862657612443
groupsm,3,16,16,0.0,19.08458491539897,19.08458491539897
groupsm,3,16,13,0.0008055043743198098,18.943319225001876,18.942513720627556
groupsm,3,16,71,9.527616733961963e-05,19.05130347704184,19.051208200874502
groupsm,3,16,43,0.0010969835553957807,18.94295331486079,18.941856331305395
groupsm,3,16,4,0.005251736446222566,19.028599343014502,19.02334760656828
groupsm,3,16,30,0.004113133600778696,18.872426287563854,18.868313153963076
groupsm,3,16,9,0.010251453253218301,18.755341502942144,18.745090049688926
groupsm,4,75,22,0.0028169001005231564,19.431405031778777,19.428588131678254
groupsm,4,75,36,0.005107267734850041,19.289502863705934,19.284395595971084
groupsm,4,75,41,0.0045497489553874,19.540550256992013,19.536000508036626
groupsm,4,75,79,0.0029764253217656744,19.565391371319688,19.562414945997922
groupsm,4,75,68,0.0008703547090860297,19.429863810569298,19.428993455860212
groupsm,4,75,84,0.0028955708076559006,19.601951338256903,19.599055767449247
groupsm,4,75,97,0.0004630613162284192,19.300763630866932,19.300300569550703
groupsm,4,75,53,0.0017480612494011893,19.169179003463075,19.167430942213674
groupsm,4,75,0,0.00018088992684894833,19.288497018564158,19.28831612863731
groupsm,4,75,28,0.0019448446053544899,19.197948180269716,19.19600333566436
groupsm,4,75,58,0.0015245460016188872,19.51062095200251,19.50909640600089
groupsm,4,75,75,0.0,19.31462724947026,19.31462724947026
groupsm,4,75,21,0.0008579316221357658,19.402647828985515,19.40178989736338
groupsm,4,75,65,0.0019776610513204673,19.426448013574884,19.424470352523564
